symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
2,121,chevrolet,gas,std,two,hatchback,fwd,front,8840,14110,6030,5320,1488,l,three,61,2bbl,2.91,3.03,950,48,5100,47,53,5151$
1,98,chevrolet,gas,std,two,hatchback,fwd,front,9450,15590,6360,5200,1874,ohc,four,90,2bbl,3.03,3.11,960,70,5400,38,43,6295$
0,81,chevrolet,gas,std,four,sedan,fwd,front,9450,15880,6360,5200,1909,ohc,four,90,2bbl,3.03,3.11,960,70,5400,38,43,6575$
1,118,dodge,gas,std,two,hatchback,fwd,front,9370,15730,6380,5080,1876,ohc,four,90,2bbl,2.97,3.23,941,68,5500,37,41,5572$
1,118,dodge,gas,std,two,hatchback,fwd,front,9370,15730,6380,5080,1876,ohc,four,90,2bbl,2.97,3.23,940,68,5500,31,38,6377$
1,118,dodge,gas,turbo,two,hatchback,fwd,front,9370,15730,6380,5080,2128,ohc,four,98,mpfi,3.03,3.39,760,102,5500,24,30,7957$
1,148,dodge,gas,std,four,hatchback,fwd,front,9370,15730,6380,5060,1967,ohc,four,90,2bbl,2.97,3.23,940,68,5500,31,38,6229$
1,148,dodge,gas,std,four,sedan,fwd,front,9370,15730,6380,5060,1989,ohc,four,90,2bbl,2.97,3.23,940,68,5500,31,38,6692$
1,148,dodge,gas,std,four,sedan,fwd,front,9370,15730,6380,5060,1989,ohc,four,90,2bbl,2.97,3.23,940,68,5500,31,38,7609$
1,148,dodge,gas,turbo,?,sedan,fwd,front,9370,15730,6380,5060,2191,ohc,four,98,mpfi,3.03,3.39,760,102,5500,24,30,8558$
-1,110,dodge,gas,std,four,wagon,fwd,front,10330,17460,6460,5980,2535,ohc,four,122,2bbl,3.34,3.46,850,88,5000,24,30,8921$
3,145,dodge,gas,turbo,two,hatchback,fwd,front,9590,17320,6630,5020,2811,ohc,four,156,mfi,3.60,3.90,700,145,5000,19,24,12964$
2,137,honda,gas,std,two,hatchback,fwd,front,8660,14460,6390,5080,1713,ohc,four,92,1bbl,2.91,3.41,960,58,4800,49,54,6479$
2,137,honda,gas,std,two,hatchback,fwd,front,8660,14460,6390,5080,1819,ohc,four,92,1bbl,2.91,3.41,920,76,6000,31,38,6855$
1,101,honda,gas,std,two,hatchback,fwd,front,9370,15000,6400,5260,1837,ohc,four,79,1bbl,2.91,3.07,1010,60,5500,38,42,5399$
1,101,honda,gas,std,two,hatchback,fwd,front,9370,15000,6400,5260,1940,ohc,four,92,1bbl,2.91,3.41,920,76,6000,30,34,6529$
1,101,honda,gas,std,two,hatchback,fwd,front,9370,15000,6400,5260,1956,ohc,four,92,1bbl,2.91,3.41,920,76,6000,30,34,7129$
0,110,honda,gas,std,four,sedan,fwd,front,9650,16340,6400,5450,2010,ohc,four,92,1bbl,2.91,3.41,920,76,6000,30,34,7295$
0,78,honda,gas,std,four,wagon,fwd,front,9650,15710,6390,5830,2024,ohc,four,92,1bbl,2.92,3.41,920,76,6000,30,34,7295$
0,106,honda,gas,std,two,hatchback,fwd,front,9650,16750,6520,5330,2236,ohc,four,110,1bbl,3.15,3.58,900,86,5800,27,33,7895$
0,106,honda,gas,std,two,hatchback,fwd,front,9650,16750,6520,5330,2289,ohc,four,110,1bbl,3.15,3.58,900,86,5800,27,33,9095$
0,85,honda,gas,std,four,sedan,fwd,front,9650,17540,6520,5410,2304,ohc,four,110,1bbl,3.15,3.58,900,86,5800,27,33,8845$
0,85,honda,gas,std,four,sedan,fwd,front,9650,17540,6250,5410,2372,ohc,four,110,1bbl,3.15,3.58,900,86,5800,27,33,10295$
0,85,honda,gas,std,four,sedan,fwd,front,9650,17540,6520,5410,2465,ohc,four,110,mpfi,3.15,3.58,900,101,5800,24,28,12945$
1,107,honda,gas,std,two,sedan,fwd,front,9650,16910,6600,5100,2293,ohc,four,110,2bbl,3.15,3.58,910,100,5500,25,31,10345$
0,?,isuzu,gas,std,four,sedan,rwd,front,9430,17070,6180,5350,2337,ohc,four,111,2bbl,3.31,3.23,850,78,4800,24,29,6785$
1,?,isuzu,gas,std,two,sedan,fwd,front,9450,15590,6360,5200,1874,ohc,four,90,2bbl,3.03,3.11,960,70,5400,38,43,?
0,?,isuzu,gas,std,four,sedan,fwd,front,9450,15590,6360,5200,1909,ohc,four,90,2bbl,3.03,3.11,960,70,5400,38,43,?
2,?,isuzu,gas,std,two,hatchback,rwd,front,9600,17260,6520,5140,2734,ohc,four,119,spfi,3.43,3.23,920,90,5000,24,29,11048$
0,145,jaguar,gas,std,four,sedan,rwd,front,11300,19960,6960,5280,4066,dohc,six,258,mpfi,3.63,4.17,810,176,4750,15,19,32250$
0,?,jaguar,gas,std,four,sedan,rwd,front,11300,19960,6960,5280,4066,dohc,six,258,mpfi,3.63,4.17,810,176,4750,15,19,35550$
0,?,jaguar,gas,std,two,sedan,rwd,front,10200,19170,7060,4780,3950,ohcv,twelve,326,mpfi,3.54,2.76,1150,262,5000,13,17,36000$
1,104,mazda,gas,std,two,hatchback,fwd,front,9310,15910,6420,5410,1890,ohc,four,91,2bbl,3.03,3.15,900,68,5000,30,31,5195$
1,104,mazda,gas,std,two,hatchback,fwd,front,9310,15910,6420,5410,1900,ohc,four,91,2bbl,3.03,3.15,900,68,5000,31,38,6095$
1,104,mazda,gas,std,two,hatchback,fwd,front,9310,15910,6420,5410,1905,ohc,four,91,2bbl,3.03,3.15,900,68,5000,31,38,6795$
1,113,mazda,gas,std,four,sedan,fwd,front,9310,16680,6420,5410,1945,ohc,four,91,2bbl,3.03,3.15,900,68,5000,31,38,6695$
1,113,mazda,gas,std,four,sedan,fwd,front,9310,16680,6420,5410,1950,ohc,four,91,2bbl,3.08,3.15,900,68,5000,31,38,7395$
3,150,mazda,gas,std,two,hatchback,rwd,front,9530,16900,6570,4960,2380,rotor,two,70,4bbl,?,?,940,101,6000,17,23,10945$
3,150,mazda,gas,std,two,hatchback,rwd,front,9530,16900,6570,4960,2380,rotor,two,70,4bbl,?,?,940,101,6000,17,23,11845$
3,150,mazda,gas,std,two,hatchback,rwd,front,9530,16900,6570,4960,2385,rotor,two,70,4bbl,?,?,940,101,6000,17,23,13645$
3,150,mazda,gas,std,two,hatchback,rwd,front,9530,16900,6570,4960,2500,rotor,two,80,mpfi,?,?,940,135,6000,16,23,15645$
1,129,mazda,gas,std,two,hatchback,fwd,front,9880,17780,6650,5370,2385,ohc,four,122,2bbl,3.39,3.39,860,84,4800,26,32,8845$
0,115,mazda,gas,std,four,sedan,fwd,front,9880,17780,6650,5550,2410,ohc,four,122,2bbl,3.39,3.39,860,84,4800,26,32,8495$
1,129,mazda,gas,std,two,hatchback,fwd,front,9880,17780,6650,5370,2385,ohc,four,122,2bbl,3.39,3.39,860,84,4800,26,32,10595$
0,115,mazda,gas,std,four,sedan,fwd,front,9880,17780,6650,5550,2410,ohc,four,122,2bbl,3.39,3.39,860,84,4800,26,32,10245$
0,?,mazda,diesel,std,?,sedan,fwd,front,9880,17780,6650,5550,2443,ohc,four,122,idi,3.39,3.39,2270,64,4650,36,42,10795$
0,115,mazda,gas,std,four,hatchback,fwd,front,9880,17780,6650,5550,2425,ohc,four,122,2bbl,3.39,3.39,860,84,4800,26,32,11245$
0,118,mazda,gas,std,four,sedan,rwd,front,10490,17500,6610,5440,2670,ohc,four,140,mpfi,3.76,3.16,800,120,5000,19,27,18280$
0,?,mazda,diesel,std,four,sedan,rwd,front,10490,17500,6610,5440,2700,ohc,four,134,idi,3.43,3.64,2200,72,4200,31,39,18344$
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,11000,19090,7030,5650,3515,ohc,five,183,idi,3.58,3.64,2150,123,4350,22,25,25552$
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,11000,19090,7030,5870,3750,ohc,five,183,idi,3.58,3.64,2150,123,4350,22,25,28248$
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,10670,18750,7030,5490,3495,ohc,five,183,idi,3.58,3.64,2150,123,4350,22,25,28176$
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,11560,20260,7170,5630,3770,ohc,five,183,idi,3.58,3.64,2150,123,4350,22,25,31600$
-1,?,mercedes-benz,gas,std,four,sedan,rwd,front,11560,20260,7170,5650,3740,ohcv,eight,234,mpfi,3.46,3.10,830,155,4750,16,18,34184$
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,9660,18030,7050,5080,3685,ohcv,eight,234,mpfi,3.46,3.10,830,155,4750,16,18,35056$
0,?,mercedes-benz,gas,std,four,sedan,rwd,front,12090,20810,7170,5670,3900,ohcv,eight,308,mpfi,3.80,3.35,800,184,4500,14,16,40960$
1,?,mercedes-benz,gas,std,two,hardtop,rwd,front,11200,19920,7200,5540,3715,ohcv,eight,304,mpfi,3.80,3.35,800,184,4500,14,16,45400$
1,?,mercury,gas,turbo,two,hatchback,rwd,front,10270,17840,6800,5480,2910,ohc,four,140,mpfi,3.78,3.12,800,175,5000,19,24,16503$
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,9370,15730,6440,5080,1918,ohc,four,92,2bbl,2.97,3.23,940,68,5500,37,41,5389$
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,9370,15730,6440,5080,1944,ohc,four,92,2bbl,2.97,3.23,940,68,5500,31,38,6189$
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,9370,15730,6440,5080,2004,ohc,four,92,2bbl,2.97,3.23,940,68,5500,31,38,6669$
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93,15730,6380,5080,2145,ohc,four,98,spdi,3.03,3.39,760,102,5500,24,30,7689$
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,9630,17300,6540,4940,2370,ohc,four,110,spdi,3.17,3.46,750,116,5500,23,30,9959$
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,9630,17300,6540,4940,2328,ohc,four,122,2bbl,3.35,3.46,850,88,5000,25,32,8499$
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,9590,17320,6630,5020,2833,ohc,four,156,spdi,3.58,3.86,700,145,5000,19,24,12629$
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,9590,17320,6630,5020,2921,ohc,four,156,spdi,3.59,3.86,700,145,5000,19,24,14869$
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,9590,17320,6630,5020,2926,ohc,four,156,spdi,3.59,3.86,700,145,5000,19,24,14489$
1,125,mitsubishi,gas,std,four,sedan,fwd,front,9630,17240,6540,5160,2365,ohc,four,122,2bbl,3.35,3.46,850,88,5000,25,32,6471€
1,125,mitsubishi,gas,std,four,sedan,fwd,front,9630,17240,6540,5160,2405,ohc,four,122,2bbl,3.35,3.46,850,88,5000,25,32,8189$
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,9630,17240,6540,5160,2403,ohc,four,110,spdi,3.17,3.46,750,116,5500,23,30,9279$
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,9630,17240,6540,5160,2403,ohc,four,110,spdi,3.17,3.46,750,116,5500,23,30,9279$
1,128,nissan,gas,std,two,sedan,fwd,front,9450,16530,6380,5450,1889,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,5499$
1,128,nissan,diesel,std,two,sedan,fwd,front,9450,16530,6380,5450,2017,ohc,four,103,idi,2.99,3.47,2190,55,4800,45,50,7099$
1,128,nissan,gas,std,two,sedan,fwd,front,9450,16530,6380,5450,1918,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,6649$
1,122,nissan,gas,std,four,sedan,fwd,front,9450,16530,6380,5450,1938,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,6849$
1,103,nissan,gas,std,four,wagon,fwd,front,9450,17020,6380,5350,2024,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,7349$
1,128,nissan,gas,std,two,sedan,fwd,front,9450,16530,6380,5450,1951,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,7299$
1,128,nissan,gas,std,two,hatchback,fwd,front,9450,16560,6380,5330,2028,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,7799$
1,122,nissan,gas,std,four,sedan,fwd,front,9450,16530,6380,5450,1971,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,7499$
1,103,nissan,gas,std,four,wagon,fwd,front,9450,17020,6380,5350,2037,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,7999$
2,168,nissan,gas,std,two,hardtop,fwd,front,9510,16240,6380,5330,2008,ohc,four,97,2bbl,3.15,3.29,940,69,5200,31,37,8249$
0,106,nissan,gas,std,four,hatchback,fwd,front,9720,17340,6520,5470,2324,ohc,four,120,2bbl,3.33,3.47,850,97,5200,27,34,8949$
0,106,nissan,gas,std,four,sedan,fwd,front,9720,17340,6520,5470,2302,ohc,four,120,2bbl,3.33,3.47,850,97,5200,27,34,9549$
0,128,nissan,gas,std,four,sedan,fwd,front,10040,18170,6650,5510,3095,ohcv,six,181,mpfi,3.43,3.27,900,152,5200,17,22,13499$
0,108,nissan,gas,std,four,wagon,fwd,front,10040,18460,6650,5610,3296,ohcv,six,181,mpfi,3.43,3.27,900,152,5200,17,22,14399$
0,108,nissan,gas,std,four,sedan,fwd,front,10040,18460,6650,5510,3060,ohcv,six,181,mpfi,3.43,3.27,900,152,5200,19,25,13499$
3,194,nissan,gas,std,two,hatchback,rwd,front,9130,17070,6790,4970,3071,ohcv,six,181,mpfi,3.43,3.27,900,160,5200,19,25,17199$
3,194,nissan,gas,turbo,two,hatchback,rwd,front,9130,17070,6790,4970,3139,ohcv,six,181,mpfi,3.43,3.27,780,200,5200,17,23,18240€
1,231,nissan,gas,std,two,hatchback,rwd,front,9920,17850,6790,4970,3139,ohcv,six,181,mpfi,3.43,3.27,900,160,5200,19,25,18399$
0,161,peugot,gas,std,four,sedan,rwd,front,10790,18670,6840,5670,3020,l,four,120,mpfi,3.46,3.19,840,97,5000,19,24,11900$
0,161,peugot,diesel,turbo,four,sedan,rwd,front,10790,18670,6840,5670,3197,l,four,152,idi,3.70,3.52,2100,95,4150,28,33,13200$
0,?,peugot,gas,std,four,wagon,rwd,front,11420,19890,6840,5870,3230,l,four,120,mpfi,3.46,3.19,840,97,5000,19,24,12440$
0,?,peugot,diesel,turbo,four,wagon,rwd,front,11420,19890,6840,5870,3430,l,four,152,idi,3.70,3.52,2100,95,4150,25,25,13860$
0,161,peugot,gas,std,four,sedan,rwd,front,10790,18670,6840,5670,3075,l,four,120,mpfi,3.46,2.19,840,95,5000,19,24,15580$
0,161,peugot,diesel,turbo,four,sedan,rwd,front,10790,18670,6840,5670,3252,l,four,152,idi,3.70,3.52,2100,95,4150,28,33,16900$
0,?,peugot,gas,std,four,wagon,rwd,front,11420,19890,6840,5670,3285,l,four,120,mpfi,3.46,2.19,840,95,5000,19,24,16695$
0,?,peugot,diesel,turbo,four,wagon,rwd,front,11420,19890,6840,5870,3485,l,four,152,idi,3.70,3.52,2100,95,4150,25,25,17075$
0,161,peugot,gas,std,four,sedan,rwd,front,10790,18670,6840,5670,3075,l,four,120,mpfi,3.46,3.19,840,97,5000,19,24,16630$
0,161,peugot,diesel,turbo,four,sedan,rwd,front,10790,18670,6840,5670,3252,l,four,152,idi,3.70,3.52,2100,95,4150,28,33,17950$
0,161,peugot,gas,turbo,four,sedan,rwd,front,10800,18670,6830,5600,3130,l,four,134,mpfi,3.61,3.21,700,142,5600,18,24,18150$
1,119,plymouth,gas,std,two,hatchback,fwd,front,9370,15730,6380,5080,1918,ohc,four,90,2bbl,2.97,3.23,940,68,5500,37,41,5572$
1,119,plymouth,gas,turbo,two,hatchback,fwd,front,9370,15730,6380,5080,2128,ohc,four,98,spdi,3.03,3.39,760,102,5500,24,30,7957$
1,154,plymouth,gas,std,four,hatchback,fwd,front,9370,15730,6380,5060,1967,ohc,four,90,2bbl,2.97,3.23,940,68,5500,31,38,6229$
1,154,plymouth,gas,std,four,sedan,fwd,front,9370,16730,6380,5080,1989,ohc,four,90,2bbl,2.97,3.23,940,68,5500,31,38,6692$
1,154,plymouth,gas,std,four,sedan,fwd,front,9370,16730,6380,5080,2191,ohc,four,98,2bbl,2.97,3.23,940,68,5500,31,38,7609$
-1,74,plymouth,gas,std,four,wagon,fwd,front,10330,17460,6460,5980,2535,ohc,four,122,2bbl,3.35,3.46,850,88,5000,24,30,8921$
3,?,plymouth,gas,turbo,two,hatchback,rwd,front,9590,17320,6630,5020,2818,ohc,four,156,spdi,3.59,3.86,700,145,5000,19,24,12764$
3,186,porsche,gas,std,two,hatchback,rwd,front,9450,16890,6830,5020,2778,ohc,four,151,mpfi,3.94,3.11,950,143,5500,19,27,22018$
3,?,porsche,gas,std,two,hardtop,rwd,rear,8950,16890,6500,5160,2756,ohcf,six,194,mpfi,3.74,2.90,950,207,5900,17,25,32528$
3,?,porsche,gas,std,two,hardtop,rwd,rear,8950,16890,6500,5160,2756,ohcf,six,194,mpfi,3.74,2.90,950,207,5900,17,25,34028$
3,?,porsche,gas,std,two,convertible,rwd,rear,8950,16890,6500,5160,2800,ohcf,six,194,mpfi,3.74,2.90,950,207,5900,17,25,37028$
1,?,porsche,gas,std,two,hatchback,rwd,front,9840,17570,7230,5050,3366,dohcv,eight,203,mpfi,3.94,3.11,1000,288,5750,17,28,?
0,?,renault,gas,std,four,wagon,fwd,front,9610,18150,6650,5520,2579,ohc,four,132,mpfi,3.46,3.90,870,?,?,23,31,8606€
2,?,renault,gas,std,two,hatchback,fwd,front,9610,17680,6660,5050,2460,ohc,four,132,mpfi,3.46,3.90,870,?,?,23,31,9895$
3,150,saab,gas,std,two,hatchback,fwd,front,9910,18660,6650,5610,2658,ohc,four,121,mpfi,3.54,3.07,931,110,5250,21,28,11850$
2,104,saab,gas,std,four,sedan,fwd,front,9910,18660,6650,5610,2695,ohc,four,121,mpfi,3.54,3.07,930,110,5250,21,28,12170$
3,150,saab,gas,std,two,hatchback,fwd,front,9910,18660,6650,5610,2707,ohc,four,121,mpfi,2.54,2.07,930,110,5250,21,28,15040$
2,104,saab,gas,std,four,sedan,fwd,front,9910,18660,6650,5610,2758,ohc,four,121,mpfi,3.54,3.07,930,110,5250,21,28,15510$
3,150,saab,gas,turbo,two,hatchback,fwd,front,9910,18660,6650,5610,2808,dohc,four,121,mpfi,3.54,3.07,900,160,5500,19,26,18150$
2,104,saab,gas,turbo,four,sedan,fwd,front,9910,18660,6650,5610,2847,dohc,four,121,mpfi,3.54,3.07,900,160,5500,19,26,18620$
2,83,subaru,gas,std,two,hatchback,fwd,front,9370,15690,6340,5370,2050,ohcf,four,97,2bbl,3.62,2.36,900,69,4900,31,36,5118$
2,83,subaru,gas,std,two,hatchback,fwd,front,9370,15790,6360,5370,2120,ohcf,four,108,2bbl,3.62,2.64,870,73,4400,26,31,7053$
2,83,subaru,gas,std,two,hatchback,4wd,front,9330,15730,6380,5570,2240,ohcf,four,108,2bbl,3.62,2.64,870,73,4400,26,31,7603$
0,102,subaru,gas,std,four,sedan,fwd,front,9720,17200,6540,5250,2145,ohcf,four,108,2bbl,3.62,2.64,950,82,4800,32,37,7126$
0,102,subaru,gas,std,four,sedan,fwd,front,9720,17200,6540,5250,2190,ohcf,four,108,2bbl,3.62,2.64,950,82,4400,28,33,7775$
0,102,subaru,gas,std,four,sedan,fwd,front,9720,17200,6540,5250,2340,ohcf,four,108,mpfi,3.62,2.64,900,94,5200,26,32,9960$
0,102,subaru,gas,std,four,sedan,4wd,front,9700,17200,6540,5430,2385,ohcf,four,108,2bbl,3.62,2.64,900,82,4800,24,25,9233$
0,102,subaru,gas,turbo,four,sedan,4wd,front,9700,17200,6540,5430,2510,ohcf,four,108,mpfi,3.62,2.64,770,111,4800,24,29,11259$
0,89,subaru,gas,std,four,wagon,fwd,front,9700,17350,6540,5300,2290,ohcf,four,108,2bbl,3.62,2.64,900,82,4800,28,32,7463$
0,89,subaru,gas,std,four,wagon,fwd,front,9700,17350,6540,5300,2455,ohcf,four,108,mpfi,3.62,2.64,900,94,5200,25,31,10198$
0,85,subaru,gas,std,four,wagon,4wd,front,9690,17360,6540,5490,2420,ohcf,four,108,2bbl,3.62,2.64,900,82,4800,23,29,8013$
0,85,subaru,gas,turbo,four,wagon,4wd,front,9690,17360,6540,5490,2650,ohcf,four,108,mpfi,3.62,2.64,770,111,4800,23,23,11694$
1,87,toyota,gas,std,two,hatchback,fwd,front,9570,15870,6360,5450,1985,ohc,four,92,2bbl,3.05,3.03,900,62,4800,35,39,5348$
1,87,toyota,gas,std,two,hatchback,fwd,front,9570,15870,6360,5450,2040,ohc,four,92,2bbl,3.05,3.03,900,62,4800,31,38,6338$
1,74,toyota,gas,std,four,hatchback,fwd,front,9570,15870,6360,5450,2015,ohc,four,92,2bbl,3.05,3.03,900,62,4800,31,38,6488$
0,77,toyota,gas,std,four,wagon,fwd,front,9570,16970,6360,5910,2280,ohc,four,92,2bbl,3.05,3.03,900,62,4800,31,37,6918$
0,81,toyota,gas,std,four,wagon,4wd,front,9570,16970,6360,5910,2290,ohc,four,92,2bbl,3.05,3.03,900,62,4800,27,32,7898$
0,91,toyota,gas,std,four,wagon,4wd,front,9570,16970,6360,5910,3110,ohc,four,92,2bbl,3.05,3.03,900,62,4800,27,32,8778$
0,91,toyota,gas,std,four,sedan,fwd,front,9570,16630,6440,5300,2081,ohc,four,98,2bbl,3.19,3.03,900,70,4800,30,37,6938$
0,91,toyota,gas,std,four,hatchback,fwd,front,9570,16630,6440,5280,2109,ohc,four,98,2bbl,3.19,3.03,900,70,4800,30,37,7198$
0,91,toyota,diesel,std,four,sedan,fwd,front,9570,16630,6440,5300,2275,ohc,four,110,idi,3.27,3.35,2250,56,4500,34,36,7898$
0,91,toyota,diesel,std,four,hatchback,fwd,front,9570,16630,6440,5280,2275,ohc,four,110,idi,3.27,3.35,2250,56,4500,38,47,7788$
0,91,toyota,gas,std,four,sedan,fwd,front,9570,16630,6440,5300,2094,ohc,four,98,2bbl,3.19,3.03,900,70,4800,38,47,7738$
0,91,toyota,gas,std,four,hatchback,fwd,front,9570,16630,6440,5280,2122,ohc,four,98,2bbl,3.19,3.03,900,70,4800,28,34,8358$
0,91,toyota,gas,std,four,sedan,fwd,front,9570,16630,6440,5280,2140,ohc,four,98,2bbl,3.19,3.03,900,70,4800,28,34,9258$
1,168,toyota,gas,std,two,sedan,rwd,front,9450,16870,6400,5260,2169,ohc,four,98,2bbl,3.19,3.03,900,70,4800,29,34,8058$
1,168,toyota,gas,std,two,hatchback,rwd,front,9450,16870,6400,5260,2204,ohc,four,98,2bbl,3.19,3.03,900,70,4800,29,34,8238$
1,168,toyota,gas,std,two,sedan,rwd,front,9450,16870,6400,5260,2265,dohc,four,98,mpfi,3.24,3.08,940,112,6600,26,29,9298$
1,168,toyota,gas,std,two,hatchback,rwd,front,9450,16870,6400,5260,2300,dohc,four,98,mpfi,3.24,3.08,940,112,6600,26,29,9538$
2,134,toyota,gas,std,two,hardtop,rwd,front,9840,17620,6560,5200,2540,ohc,four,146,mpfi,3.62,3.50,930,116,4800,24,30,8449$
2,134,toyota,gas,std,two,hardtop,rwd,front,9840,17620,6560,5200,2536,ohc,four,146,mpfi,3.62,3.50,930,116,4800,24,30,9639$
2,134,toyota,gas,std,two,hatchback,rwd,front,9840,17620,6560,5200,2551,ohc,four,146,mpfi,3.62,3.50,930,116,4800,24,30,9989$
2,134,toyota,gas,std,two,hardtop,rwd,front,9840,17620,6560,5200,2679,ohc,four,146,mpfi,3.62,3.50,930,116,4800,24,30,11199$
2,134,toyota,gas,std,two,hatchback,rwd,front,9840,17620,6560,5200,2714,ohc,four,146,mpfi,3.62,3.50,930,116,4800,24,30,11549$
2,134,toyota,gas,std,two,convertible,rwd,front,9840,17620,6560,5300,2975,ohc,four,146,mpfi,3.62,3.50,930,116,4800,24,30,17669$
-1,65,toyota,gas,std,four,sedan,fwd,front,10240,17560,6650,5490,2326,ohc,four,122,mpfi,3.31,3.54,870,92,4200,29,34,8948$
-1,65,toyota,diesel,turbo,four,sedan,fwd,front,10240,17560,6650,5490,2480,ohc,four,110,idi,3.27,3.35,2250,73,4500,30,33,10698$
-1,65,toyota,gas,std,four,hatchback,fwd,front,10240,17560,6650,5390,2414,ohc,four,122,mpfi,3.31,3.54,870,92,4200,27,32,9988$
-1,65,toyota,gas,std,four,sedan,fwd,front,10240,17560,6650,5490,2414,ohc,four,122,mpfi,3.31,3.54,870,92,4200,27,32,10898$
-1,65,toyota,gas,std,four,hatchback,fwd,front,10240,17560,6650,5390,2458,ohc,four,122,mpfi,3.31,3.54,870,92,4200,27,32,11248$
